Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
AMD Ryzen 5 8600G,6,4.3 GHz,5 GHz,65 W,Radeon 760M,Yes,-2,$228.99 
Intel Core i9-13900KF,24,3 GHz,5.8 GHz,125 W,None,Yes,-14,$488.83 
AMD Threadripper 3970X,32,3.7 GHz,4.5 GHz,280 W,None,Yes,-8,"$1,675.00 "
Intel Core i3-10100F,4,3.6 GHz,4.3 GHz,65 W,None,Yes,-23,$70.56 
Intel Core i7-14700F,20,2.1 GHz,5.4 GHz,65 W,None,Yes,0,$369.55 
AMD Ryzen 7 2700X,8,3.7 GHz,4.3 GHz,105 W,None,Yes,-359,$199.00 
AMD Ryzen 5 3600X,6,3.8 GHz,4.4 GHz,95 W,None,Yes,-201,$199.00 
Intel Core i9-9900K,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,-211,$405.00 
AMD Ryzen 9 3900X,12,3.8 GHz,4.6 GHz,105 W,None,Yes,-277,$395.00 
Intel Core i5-11400F,6,2.6 GHz,4.4 GHz,65 W,None,Yes,-25,$115.98 
Intel Core i7-10700K,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,-100,$247.25 
Intel Core i3-14100F,4,3.5 GHz,4.7 GHz,58 W,None,Yes,0,$114.98 
Intel Core i9-12900KF,16,3.2 GHz,5.2 GHz,125 W,None,Yes,-2,$321.89 
Intel Core i3-12100,4,3.3 GHz,4.3 GHz,60 W,Intel UHD Graphics 730,Yes,-14,$116.98 
Intel Core i5-13500,14,2.5 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,-14,$199.99 
Intel Core i7-12700F,12,2.1 GHz,4.9 GHz,65 W,None,Yes,-9,$249.99 
Intel Core i5-9400F,6,2.9 GHz,4.1 GHz,65 W,None,No,-46,$85.00 
Intel Core i7-7700K,4,4.2 GHz,4.5 GHz,91 W,Intel HD Graphics 630,Yes,-305,$235.00 
Intel Core i3-13100F,4,3.4 GHz,4.5 GHz,58 W,None,Yes,-3,$109.99 
Intel Core i7-6700K,4,4 GHz,4.2 GHz,91 W,Intel HD Graphics 530,Yes,-509,$180.00 
Intel Core i9-13900KS,24,3 GHz,6 GHz,150 W,Intel UHD Graphics 770,Yes,-13,$589.99 
Intel Core i7-11700K,8,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 750,Yes,-37,$234.90 
Intel Core i7-13700F,16,2.1 GHz,5.2 GHz,65 W,None,Yes,-2,$349.98 
AMD Ryzen 7 3800X,8,3.9 GHz,4.5 GHz,105 W,None,Yes,-133,$285.00 
AMD Ryzen 5 3400G,4,3.7 GHz,4.2 GHz,65 W,Radeon Vega 11,Yes,-55,$98.75 
Intel Core i9-11900K,8,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 750,Yes,-12,$253.99 
Intel Core i5-9600K,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No,-146,$136.00 
Intel Core i5-10400,6,2.9 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,-62,$130.00 
AMD Ryzen 5 2600X,6,3.6 GHz,4.2 GHz,95 W,None,Yes,-229,$185.00 
Intel Core i5-6500,4,3.2 GHz,3.6 GHz,65 W,Intel HD Graphics 530,No,-233,$67.00 
Intel Core i7-8700,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,-60,$200.00 
Intel Core i9-10900K,10,3.7 GHz,5.3 GHz,125 W,Intel UHD Graphics 630,Yes,-50,$430.00 
AMD Ryzen 5 5500GT,6,3.6 GHz,4.4 GHz,65 W,Radeon Vega 7,Yes,0,$114.99 
Intel Core i7-14700,20,2.1 GHz,5.4 GHz,65 W,Intel UHD Graphics 770,Yes,0,$399.98 
Intel Core i5-13400,10,2.5 GHz,4.6 GHz,65 W,Intel UHD Graphics 730,Yes,-4,$179.99 
Intel Core i5-8400,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,-85,$130.72 
AMD Ryzen 5 5600GT,6,3.6 GHz,4.6 GHz,65 W,Radeon Vega 7,Yes,0,$127.99 
Intel Core i7-12700,12,2.1 GHz,4.9 GHz,65 W,Intel UHD Graphics 770,Yes,-7,$265.48 
Intel Core i7-6700,4,3.4 GHz,4 GHz,65 W,Intel HD Graphics 530,Yes,-42,$130.00 
Intel Core i9-12900KS,16,3.4 GHz,5.5 GHz,150 W,Intel UHD Graphics 770,Yes,-5,$379.93 
Intel Core i3-14100,4,3.5 GHz,4.7 GHz,60 W,Intel UHD Graphics 730,Yes,0,$147.99 
Intel Core i7-10700F,8,2.9 GHz,4.8 GHz,65 W,None,Yes,-8,$218.99 
AMD Ryzen 9 3950X,16,3.5 GHz,4.7 GHz,105 W,None,Yes,-62,$495.00 
Intel Core i5-4690K,4,3.5 GHz,3.9 GHz,88 W,Intel HD Graphics 4600,No,-556,$53.00 
Intel Core i7-7700,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,-34,$167.00 
Intel Core i5-10600K,6,4.1 GHz,4.8 GHz,125 W,Intel UHD Graphics 630,Yes,-72,$185.14 
AMD Threadripper 3960X,24,3.8 GHz,4.5 GHz,280 W,None,Yes,-9,"$1,240.00 "
AMD Ryzen 3 3100,4,3.6 GHz,3.9 GHz,65 W,None,Yes,-62,$170.00 
