Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
Intel Xeon E5-2698 V4,20,2.2 GHz,3.6 GHz,135 W,None,Yes,0,
Intel Core i7-980X Extreme Edition,6,3.33 GHz,,130 W,None,Yes,-3,$153.64 
Intel Core i9-7920X,12,2.9 GHz,4.4 GHz,140 W,None,Yes,0,$556.54 
AMD A6-9500,2,3.5 GHz,3.8 GHz,65 W,Radeon R5 (on die),No,-3,$67.50 
AMD A10-7850K,4,3.7 GHz,4 GHz,95 W,Radeon R7 (on-die),No,-52,$139.84 
Intel Core i3-10300,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,-1,$199.06 
Intel Core 2 Quad Q9550,4,2.83 GHz,,95 W,None,No,-1,$52.55 
Intel Xeon E5-2630 V4,10,2.2 GHz,3.1 GHz,85 W,None,Yes,0,$335.07 
Intel Xeon E5-2650 V2,8,2.6 GHz,3.4 GHz,95 W,None,Yes,-2,$185.00 
Intel Core i7-8700T,6,2.4 GHz,4 GHz,35 W,Intel UHD Graphics 630,Yes,0,$304.38 
Intel Xeon E5-2670 V3,12,2.3 GHz,3.1 GHz,120 W,None,Yes,-1,
Intel Core i7-6950X,10,3 GHz,3.5 GHz,140 W,None,Yes,-4,$506.35 
Intel Core i5-3350P,4,3.1 GHz,,69 W,None,No,-12,
Intel Core i9-9980XE,18,3 GHz,4.4 GHz,165 W,None,Yes,0,"$1,097.00 "
Intel Core i5-6402P,4,2.8 GHz,3.4 GHz,65 W,Intel HD Graphics 510,No,-2,$80.00 
AMD Athlon II X4 640,4,3 GHz,,95 W,None,No,-1,$57.01 
Intel Core i9-9960X,16,3.1 GHz,4.4 GHz,165 W,None,Yes,0,$998.95 
Intel Xeon E5-2660 V4,14,2 GHz,3.2 GHz,105 W,None,Yes,-1,$399.00 
Intel Core i5-9600,6,3.1 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,No,0,$195.00 
Intel Core i7-7700T,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,-1,$489.95 
Intel Core i3-9350KF,4,4 GHz,4.6 GHz,91 W,None,No,-1,$206.00 
Intel Xeon E5-1620 V3,4,3.5 GHz,3.6 GHz,140 W,None,Yes,-1,$69.02 
Intel Core i5-2400S,4,2.5 GHz,,65 W,Intel HD Graphics 2000,No,0,$70.00 
Intel Core i7-10700K Avengers Collector's Edition,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,0,$741.00 
Intel Core i7-7800X,6,3.5 GHz,4 GHz,140 W,None,Yes,0,$329.95 
Intel Core i7-950,4,3.06 GHz,,130 W,None,Yes,-5,$100.00 
AMD FX-9370,8,4.4 GHz,4.7 GHz,220 W,None,No,-9,$198.50 
Intel Xeon E5-1660 V2,6,3.7 GHz,4 GHz,130 W,None,Yes,-1,"$1,129.00 "
Intel Core i7-5820K,6,3.3 GHz,3.6 GHz,140 W,None,Yes,0,$429.95 
Intel Xeon E3-1230 V2,4,3.3 GHz,,69 W,None,Yes,-6,$271.85 
Intel Xeon E-2176G,6,3.7 GHz,4.7 GHz,80 W,Intel HD Graphics P630,Yes,0,$643.62 
Intel Core i9-7900X,10,3.3 GHz,4.5 GHz,140 W,None,Yes,0,$898.95 
Intel Xeon E5-4620,8,2.2 GHz,2.6 GHz,95 W,None,Yes,0,$58.47 
Intel Xeon E5-1630 V4,4,3.7 GHz,4 GHz,140 W,None,Yes,0,$229.95 
Intel Core i7-4770K,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,-4,$231.05 
Intel Core i3-6300,2,3.8 GHz,,51 W,Intel HD Graphics 530,Yes,-3,$91.64 
Intel Core i9-9900X,10,3.5 GHz,4.4 GHz,165 W,None,Yes,0,$655.06 
Intel Xeon E5-1660 V3,8,3 GHz,3.5 GHz,140 W,None,Yes,-1,$204.44 
Intel Xeon E5-2620 V4,8,2.1 GHz,3 GHz,85 W,None,Yes,-3,$429.95 
Intel Core i5-8400T,6,1.7 GHz,3.3 GHz,35 W,Intel UHD Graphics 630,No,0,$139.00 
Intel Core i5-7400,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,0,$110.00 
